id,type,name,url,source_query,city,niche,status,score,priority,main_problem,email,phone,whatsapp,instagram,next_action,next_follow_up_at,created_at,updated_at
ecommerce:lamis.com.br,ecommerce,Lamis,https://www.lamis.com.br/,manual,Sao Paulo,moda feminina,novo,58,media,Site pode estar com problemas de responsividade no mobile.,,,,,Revisar manualmente e enviar diagnostico curto,2026-06-05T23:18:06.760Z,2026-06-04T23:17:55.924Z,2026-06-04T23:18:06.759Z
barbershop:barbearia-28-santo-amaro-fcyk86,barbershop,Barbearia 28 Santo Amaro,https://barbearia28.com.br/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 98067-1372,,,auditar-site-atual,,2026-06-05T04:49:54.170Z,2026-06-05T04:49:54.171Z
barbershop:pier-7-barbearia-santo-amaro-1djgdd,barbershop,PIER 7 BARBEARIA SANTO AMARO,http://www.pier7barbearia.com.br/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 94550-3069,,,auditar-site-atual,,2026-06-05T04:49:54.171Z,2026-06-05T04:49:54.171Z
barbershop:barbearia-expert-s-santo-amaro-io5lq1,barbershop,Barbearia Expert's - Santo Amaro,https://barbeariaexperts.com.br/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 98102-2267,,,auditar-site-atual,,2026-06-05T04:49:54.172Z,2026-06-05T04:49:54.172Z
barbershop:barbearia-tarantino-fp1d32,barbershop,Barbearia Tarantino,https://www.barbeariatarantino.com.br/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 3384-5530,,,auditar-site-atual,,2026-06-05T04:49:54.172Z,2026-06-05T04:49:54.172Z
barbershop:m-barbearia-6bfyrl,barbershop,M Barbearia,https://www.mbarbearia.com/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 5694-0209,,,auditar-site-atual,,2026-06-05T04:49:54.173Z,2026-06-05T04:49:54.173Z
barbershop:barbearia-muchacho-1gcthn,barbershop,Barbearia Muchacho,https://barbeariamuchacho.com.br/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 96635-9902,,,auditar-site-atual,,2026-06-05T04:49:54.173Z,2026-06-05T04:49:54.173Z
barbershop:the-cut-barbearia-studio-barbearia-sao-paulo-1ye64y,barbershop,The Cut Barbearia & Studio - Barbearia São Paulo,https://studiothecut.com/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 96182-9349,,,auditar-site-atual,,2026-06-05T04:49:54.174Z,2026-06-05T04:49:54.174Z
barbershop:a-barbearia-express-mais-shopping-1hu8ao,barbershop,A Barbearia Express - Mais Shopping,https://instagram.com/a_barbearia_express,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 91306-1616,,,auditar-site-atual,,2026-06-05T04:49:54.174Z,2026-06-05T04:49:54.174Z
barbershop:a-barbearia-express-santo-mercado-1d3nty,barbershop,A Barbearia Express - Santo Mercado,https://linktr.ee/a_barbearia_express,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 91306-1616,,,auditar-site-atual,,2026-06-05T04:49:54.174Z,2026-06-05T04:49:54.174Z
barbershop:ny-barbearia-borba-gato-1yz7zv,barbershop,NY Barbearia - Borba Gato,https://www.nybarbearia.com/contato,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 4306-4050,,,auditar-site-atual,,2026-06-05T04:49:54.175Z,2026-06-05T04:49:54.175Z
barbershop:novus-barbearia-18fzaj,barbershop,Novus Barbearia,https://www.instagram.com/novusbarbearia/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 5523-2086,,,auditar-site-atual,,2026-06-05T04:49:54.175Z,2026-06-05T04:49:54.175Z
barbershop:barbearia-do-alto-adulto-infantil-podologia-protese-capilar--9sdn82,barbershop,Barbearia do Alto - Adulto & Infantil | Podologia | Prótese Capilar | Tatuagem,https://barbeariadoalto.com/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 5686-8666,,,auditar-site-atual,,2026-06-05T04:49:54.176Z,2026-06-05T04:49:54.176Z
barbershop:vicenti-barbearia-santo-amaro-1i8bev,barbershop,Vicenti Barbearia Santo Amaro,https://www.instagram.com/vicenti_barbearia,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 99329-3715,,,auditar-site-atual,,2026-06-05T04:49:54.176Z,2026-06-05T04:49:54.176Z
barbershop:barba-leao-wpvm5b,barbershop,Barba Leão,https://barbaleao.gendo.app/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 95650-5050,,,auditar-site-atual,,2026-06-05T04:49:54.176Z,2026-06-05T04:49:54.176Z
barbershop:benedetto-barbershop-barbearia-e-visagismo-brooklin-1bknbj,barbershop,Benedetto Barbershop | Barbearia e Visagismo | Brooklin,http://benedettobarbershop.booksy.com/a/,barbearia,São Paulo,barber_shop,discovered,,,,,(11) 94047-7296,,,auditar-site-atual,,2026-06-05T04:49:54.177Z,2026-06-05T04:49:54.177Z
barbershop:barbearia-dona-navalha-76nyh6,barbershop,Barbearia Dona Navalha,https://www.instagram.com/barbearia_donanavalha?igsh=MXB3bWd5azc1MjcxMw==,barbearia bairro popular,São Paulo,barber_shop,discovered,,,,,(11) 94937-9085,,,auditar-site-atual,,2026-06-05T04:50:15.230Z,2026-06-05T04:50:15.231Z
barbershop:bgk-barbearia-unidade-1-1c7aha,barbershop,BGK Barbearia. Unidade 1,http://barbearialosprimos98.booksy.com/,barbearia bairro popular,São Paulo,barber_shop,discovered,,,,,(11) 97777-5955,,,auditar-site-atual,,2026-06-05T04:50:15.232Z,2026-06-05T04:50:15.232Z
barbershop:kings-of-style-156gbu,barbershop,Kings of Style,http://webbio.site/zftb0,barbearia bairro popular,São Paulo,barber_shop,discovered,,,,,(11) 94837-7968,,,auditar-site-atual,,2026-06-05T04:50:15.233Z,2026-06-05T04:50:15.233Z
barbershop:barbearia-capao-redondo-desde-1986-4r4ecj,barbershop,BARBEARIA CAPÃO REDONDO DESDE 1986,http://facebook.com/barbeariacapaoredondo,barbearia bairro popular,São Paulo,barber_shop,discovered,,,,,(11) 96582-7014,,,auditar-site-atual,,2026-06-05T04:50:15.233Z,2026-06-05T04:50:15.233Z
barbershop:barbearia-dalton-4fbkhb,barbershop,Barbearia Dalton,,barbearia bairro popular,São Paulo,barber_shop,discovered,,,sem-site,,(11) 98272-7010,,,criar-site-do-zero,,2026-06-05T04:50:15.234Z,2026-06-05T04:50:15.234Z
barbershop:barbearia-do-edu-1bdoan,barbershop,BARBEARIA DO EDU,,barbearia bairro popular,São Paulo,barber_shop,discovered,,,sem-site,,(11) 98155-4636,,,criar-site-do-zero,,2026-06-05T04:50:15.234Z,2026-06-05T04:50:15.234Z
barbershop:barbearia-salao-2-amigos-jk8xhe,barbershop,"""Barbearia"" Salão 2 Amigos",,barbearia bairro popular,São Paulo,barber_shop,discovered,,,sem-site,,,,,criar-site-do-zero,,2026-06-05T04:50:15.236Z,2026-06-05T04:50:15.236Z
barbershop:novo-stylo-barbearia-ejf5rl,barbershop,Novo Stylo Barbearia,,barbearia bairro popular,São Paulo,barber_shop,discovered,,,sem-site,,(11) 97728-9681,,,criar-site-do-zero,,2026-06-05T04:50:15.236Z,2026-06-05T04:50:15.236Z
barbershop:barbearia-rios-5lrl6r,barbershop,Barbearia Rios,https://www.lista11.com.br/empresa/beleza-e-estetica/sao-paulo/barbearia-rios-barbearia-com-melhor-preco-no-valo-velho-barbearia-com-relaxamento-e-progressiva-no-valo-velho-/8862,barbearia bairro popular,São Paulo,barber_shop,discovered,,,,,(11) 96451-4138,,,auditar-site-atual,,2026-06-05T04:50:15.237Z,2026-06-05T04:50:15.237Z
barbershop:barbeiro-lm-7vga0t,barbershop,Barbeiro Lm,,barbearia bairro popular,São Paulo,barber_shop,discovered,,,sem-site,,,,,criar-site-do-zero,,2026-06-05T04:50:15.237Z,2026-06-05T04:50:15.237Z
